1785199380000000,63663.41000000,63674.48000000,63660.32000000,63666.67000000,2.39929000,1785199439999999,152753.91487800,1347,1.16684000,74286.18162310,0
1785199440000000,63666.66000000,63672.61000000,63610.00000000,63610.01000000,5.34873000,1785199499999999,340425.15088350,1932,0.44314000,28204.81616290,0
1785199500000000,63610.00000000,63617.56000000,63570.00000000,63570.00000000,6.78302000,1785199559999999,431373.21722480,2602,1.86511000,118612.91673230,0
1785199560000000,63570.01000000,63619.71000000,63552.68000000,63619.71000000,6.31087000,1785199619999999,401206.53599270,3085,3.69069000,234650.32778090,0
1785199620000000,63619.70000000,63619.71000000,63564.00000000,63564.00000000,6.61296000,1785199679999999,420543.33081100,1737,0.75415000,47951.61723090,0
1785199680000000,63564.01000000,63564.01000000,63506.00000000,63519.99000000,27.89171000,1785199739999999,1772003.62012930,4617,15.11728000,960351.46254310,0
1785199740000000,63520.00000000,63554.21000000,63505.64000000,63538.20000000,15.86672000,1785199799999999,1007958.88553780,2809,9.35415000,594193.11787770,0
1785199800000000,63538.19000000,63538.20000000,63500.00000000,63522.82000000,10.86508000,1785199859999999,690150.61715000,3406,3.84904000,244485.66445970,0
1785199860000000,63522.81000000,63550.00000000,63500.00000000,63500.01000000,9.60325000,1785199919999999,610002.90867560,3415,4.19103000,266227.13654840,0
1785199920000000,63500.01000000,63546.23000000,63500.00000000,63529.22000000,17.05439000,1785199979999999,1083193.67052540,3166,6.11630000,388480.06577790,0
1785199980000000,63529.22000000,63538.00000000,63514.00000000,63528.45000000,3.58882000,1785200039999999,227989.48340450,2780,1.25973000,80026.66189790,0
1785200040000000,63528.46000000,63528.46000000,63506.00000000,63513.40000000,19.48640000,1785200099999999,1237660.15757940,1973,0.73156000,46463.30385850,0
1785200100000000,63513.40000000,63583.99000000,63469.30000000,63564.87000000,44.19754000,1785200159999999,2806649.80598850,6664,16.96642000,1077287.89583730,0
1785200160000000,63564.86000000,63564.87000000,63522.00000000,63524.00000000,5.84682000,1785200219999999,371558.75341400,1571,2.69851000,171476.11799090,0
1785200220000000,63524.00000000,63562.00000000,63524.00000000,63554.00000000,6.31137000,1785200279999999,401046.90104400,2179,5.11331000,324906.58571570,0
1785200280000000,63554.00000000,63554.01000000,63508.01000000,63508.01000000,5.21699000,1785200339999999,331471.20470260,1752,0.79979000,50811.65921650,0
1785200340000000,63508.00000000,63508.01000000,63476.00000000,63487.88000000,3.31686000,1785200399999999,210573.99761720,1279,2.37335000,150668.48641820,0
1785200400000000,63487.88000000,63498.37000000,63457.09000000,63483.21000000,19.76681000,1785200459999999,1254687.58753300,5027,10.44078000,662737.50036550,0
1785200460000000,63483.22000000,63495.82000000,63460.00000000,63488.11000000,9.16606000,1785200519999999,581781.37018690,2248,4.34280000,275626.95151000,0
1785200520000000,63488.10000000,63502.08000000,63481.76000000,63502.07000000,6.19928000,1785200579999999,393574.91632650,2188,5.27524000,334907.20141170,0
1785200580000000,63502.07000000,63517.99000000,63495.92000000,63515.92000000,14.90957000,1785200639999999,946906.11930630,2318,12.30279000,781349.36701610,0
1785200640000000,63515.93000000,63529.89000000,63458.19000000,63458.20000000,7.72169000,1785200699999999,490389.03639170,2378,1.26053000,80032.51995270,0
1785200700000000,63458.19000000,63458.20000000,63355.01000000,63377.25000000,51.09952000,1785200759999999,3239295.23649410,7098,11.60751000,735744.17659260,0
1785200760000000,63377.24000000,63377.25000000,63256.48000000,63303.89000000,60.50043000,1785200819999999,3829644.01642630,10470,16.10521000,1019365.47941980,0
1785200820000000,63303.31000000,63303.31000000,63100.00000000,63159.79000000,118.98891000,1785200879999999,7517996.13545680,14359,30.59787000,1933151.94532080,0
1785200880000000,63159.78000000,63159.78000000,63059.39000000,63135.64000000,58.50274000,1785200939999999,3691136.60894100,8167,18.69213000,1179290.09655550,0
1785200940000000,63135.64000000,63218.86000000,63135.63000000,63213.15000000,15.43948000,1785200999999999,975393.80158900,4924,5.71593000,361111.34678790,0
1785201000000000,63213.15000000,63213.15000000,63159.92000000,63166.20000000,16.19802000,1785201059999999,1023332.67984280,3221,12.30023000,777055.74095390,0
1785201060000000,63166.20000000,63232.11000000,63145.13000000,63230.67000000,35.16918000,1785201119999999,2222158.55287430,3846,19.05191000,1203883.95251060,0
1785201120000000,63230.66000000,63230.67000000,63168.14000000,63181.61000000,47.33943000,1785201179999999,2991877.56453730,3336,43.07478000,2722348.01372440,0
1785201180000000,63181.61000000,63224.79000000,63174.01000000,63219.47000000,34.34902000,1785201239999999,2170941.67189820,2551,27.01006000,1707119.63350000,0
1785201240000000,63219.47000000,63232.41000000,63196.55000000,63198.93000000,71.04109000,1785201299999999,4490914.66390590,2085,22.66922000,1433073.75356890,0
1785201300000000,63198.94000000,63236.55000000,63197.79000000,63234.10000000,60.09425000,1785201359999999,3799455.43538990,3554,53.72400000,3396658.27165360,0
1785201360000000,63234.10000000,63265.47000000,63171.29000000,63178.17000000,45.64512000,1785201419999999,2885872.00185110,5412,16.68955000,1055373.56482990,0
1785201420000000,63178.16000000,63202.76000000,63151.51000000,63177.77000000,42.06623000,1785201479999999,2657687.21247350,2889,15.00460000,947711.83352780,0
1785201480000000,63177.77000000,63202.03000000,63162.11000000,63194.03000000,32.35491000,1785201539999999,2044077.40350610,3495,22.41814000,1416191.63269840,0
1785201540000000,63194.02000000,63207.17000000,63128.45000000,63200.84000000,31.77997000,1785201599999999,2007180.26561370,4029,4.71902000,298060.64508600,0
1785201600000000,63200.84000000,63208.73000000,63169.71000000,63199.69000000,31.91083000,1785201659999999,2016343.30710210,3257,10.26033000,648264.96457530,0
1785201660000000,63199.69000000,63275.93000000,63199.69000000,63275.92000000,20.14705000,1785201719999999,1273794.91777720,3105,18.02484000,1139609.21180680,0
1785201720000000,63275.93000000,63275.93000000,63203.36000000,63212.20000000,5.62553000,1785201779999999,355722.73054310,2004,2.48456000,157085.00159240,0
1785201780000000,63212.20000000,63236.36000000,63212.20000000,63216.58000000,18.32334000,1785201839999999,1158490.25913240,1418,12.15777000,768642.74523650,0
1785201840000000,63216.59000000,63230.03000000,63201.13000000,63216.01000000,50.56320000,1785201899999999,3196275.08028410,2258,35.34250000,2234041.53559930,0
1785201900000000,63216.01000000,63263.69000000,63202.51000000,63263.69000000,11.55209000,1785201959999999,730437.65411950,2167,8.15994000,515970.93317080,0
1785201960000000,63263.69000000,63285.40000000,63258.67000000,63280.32000000,14.84365000,1785202019999999,939209.52895630,1973,8.85150000,560055.95512080,0
1785202020000000,63280.31000000,63295.46000000,63279.01000000,63291.04000000,6.48505000,1785202079999999,410415.68071820,1386,2.15051000,136097.89151130,0
1785202080000000,63291.03000000,63356.85000000,63291.03000000,63321.88000000,12.63494000,1785202139999999,800103.79062540,3218,9.18044000,581282.03396810,0
1785202140000000,63321.88000000,63321.88000000,63311.49000000,63315.51000000,4.43423000,1785202199999999,280752.43575580,871,3.06278000,193916.62230670,0
1785202200000000,63315.51000000,63331.49000000,63299.01000000,63325.90000000,11.40549000,1785202259999999,722066.46360970,2324,4.24373000,268674.04492960,0
1785202260000000,63325.90000000,63350.00000000,63324.00000000,63348.33000000,2.02030000,1785202319999999,127959.97199240,1402,1.09654000,69447.00033910,0
1785202320000000,63348.34000000,63366.43000000,63330.38000000,63345.31000000,7.70770000,1785202379999999,488304.59233460,2631,4.35875000,276147.49869220,0
1785202380000000,63345.30000000,63371.35000000,63345.30000000,63371.34000000,7.15103000,1785202439999999,453092.50422930,1031,6.76170000,428424.92757230,0
1785202440000000,63371.35000000,63393.74000000,63371.00000000,63393.74000000,19.90899000,1785202499999999,1261766.39571880,932,19.12116000,1211839.01520740,0
1785202500000000,63393.85000000,63397.95000000,63314.18000000,63321.80000000,14.03832000,1785202559999999,889524.55795400,2657,4.02155000,254793.55623840,0
1785202560000000,63321.81000000,63322.96000000,63301.59000000,63318.79000000,18.82453000,1785202619999999,1191922.51216850,1128,2.48413000,157260.88902390,0
1785202620000000,63318.78000000,63318.79000000,63269.30000000,63271.02000000,16.41489000,1785202679999999,1038843.11712400,1529,3.21380000,203362.57540410,0
1785202680000000,63271.03000000,63309.76000000,63271.02000000,63285.49000000,15.32962000,1785202739999999,970255.56834310,2122,7.15210000,452620.83861900,0
1785202740000000,63285.49000000,63285.49000000,63271.03000000,63271.05000000,3.69412000,1785202799999999,233756.29954220,1428,2.20197000,139334.18475050,0
1785202800000000,63271.05000000,63271.05000000,63200.00000000,63200.01000000,9.78408000,1785202859999999,618765.40350060,2929,3.47664000,219875.88786770,0
1785202860000000,63200.01000000,63234.44000000,63200.01000000,63229.42000000,9.58340000,1785202919999999,605842.10332320,1819,8.30988000,525320.97305820,0
1785202920000000,63229.42000000,63230.00000000,63216.21000000,63227.30000000,11.09050000,1785202979999999,701182.41041700,1565,7.74993000,489971.46941790,0
1785202980000000,63227.31000000,63243.47000000,63219.14000000,63229.19000000,3.46747000,1785203039999999,219239.21880080,1584,2.02942000,128313.11816800,0
